Ingredient,Type,Purpose,Skin Type
DMDM Hydantoin,Preservative,"Prevents microbial growth, preserves product",All skin types
Sodium Hydroxide,pH adjuster,Balances product's pH,All skin types
Iodopropynyl Butylcarbamate,Preservative,"Prevents bacterial growth, preserves product",All skin types
PEG-8,"Humectant, Solubilizer","Draws moisture into the skin, enhances solubility",All skin types
Sodium Bicarbonate,"pH adjuster, Buffering agent",Balances pH and regulates acidity,All skin types
Silica Silylate,"Absorbent, Texturizer","Controls oil, improves texture","Oily, Combination"
Polysorbate 20,"Surfactant, Emulsifier","Helps mix oil and water, enhances texture",All skin types
Fragrance,Scent,Adds fragrance to products,All skin types
Yellow 5,Colorant,Adds yellow color,All skin types
Red 40,Colorant,Adds red color,All skin types
Citric Acid,"pH adjuster, Exfoliant",Adjusts pH and exfoliates skin,All skin types
Polyacrylate Crosspolymer-6,"Thickener, Stabilizer","Thickens formulations, stabilizes them",All skin types
Panthenol,"Humectant, Skin conditioning",Moisturizes and soothes the skin,All skin types
Polymethylsilsesquioxane,"Film-forming agent, Skin protector","Forms a protective barrier, protects skin","Dry, Sensitive"
Dimethicone,"Silicone, Skin conditioning, Moisturizer","Smoothens and softens skin, provides hydration","Dry, Sensitive"
Isohexadecane,"Emollient, Solvent","Softens the skin, improves product texture","Dry, Oily"
PEG-40 Stearate,"Emulsifier, Surfactant","Helps mix water and oil, improves texture",All skin types
Cetearyl Methicone,"Silicone, Emollient",Softens and smooths skin,"Dry, Sensitive"
Steareth-2,"Emulsifier, Surfactant",Stabilizes and helps mix ingredients,All skin types
Steareth-21,"Emulsifier, Surfactant",Stabilizes and helps mix ingredients,All skin types
Parfum,Scent,Adds fragrance to the product,All skin types
T-Butyl Alcohol,"Solvent, Stabilizer","Acts as a solvent, stabilizes formula",All skin types
Actinidia Chinensis (Kiwi) Fruit Extract,"Antioxidant, Skin conditioning",Nourishes and protects skin,All skin types
Hylocereus Undatus Fruit Extract,"Antioxidant, Moisturizing",Hydrates and soothes skin,All skin types
Hippophae Rhamnoides Water,"Antioxidant, Moisturizing",Provides hydration and protects skin,All skin types
Ascorbyl Glucoside,"Vitamin C derivative, Antioxidant",Skin brightening and protection,All skin types
Betaine,"Humectant, Skin conditioning",Moisturizes and soothes skin,"Dry, Sensitive"
Limonene,"Fragrance, Antioxidant",Adds fragrance and protects skin from damage,All skin types
Alpha-Arbutin,Skin brightening agent,Lightens skin and evens out tone,All skin types
Linalool,"Fragrance, Antioxidant",Adds fragrance and provides antioxidant protection,All skin types
Adenosine,"Skin conditioning, Anti-aging",Soothes and reduces signs of aging,All skin types
Hydroxyethylcellulose,"Thickener, Stabilizer",Thickens and stabilizes formulations,All skin types
Polyglyceryl-10 Myristate,Emulsifier,Stabilizes and improves texture of the formulation,All skin types
Polyglyceryl-10 Laurate,Emulsifier,Stabilizes and improves texture of the formulation,All skin types
Betaine Salicylate,"Exfoliant, Acne treatment",Exfoliates and helps reduce acne,"Oily, Acne-prone"
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"Fragrance, Antioxidant",Adds fragrance and protects skin,All skin types
Menthyl Lactate,Cooling agent,Provides a cooling effect on the skin,All skin types
Mentha Haplocalix Extract,"Skin conditioning, Refreshing",Refreshes and soothes the skin,All skin types
Cetyl Ethylhexanoate,"Emollient, Skin conditioning",Softens and smooths skin,All skin types
Macadamia Ternifolia Seed Oil,"Emollient, Moisturizing",Nourishes and moisturizes skin,"Dry, Sensitive"
Cetearyl Alcohol,"Emulsifier, Skin conditioning",Stabilizes emulsions and moisturizes skin,"Dry, Sensitive"
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Stabilizer, Film-forming agent",Stabilizes formulations and creates a protective film,All skin types
Ethylhexylglycerin,"Skin conditioning, Preservative",Hydrates and preserves product,All skin types
Cetearyl Olivate,Emulsifier,Helps to blend oils and water in formulas,"Dry, Sensitive"
Sorbitan Olivate,Emulsifier,Helps to blend oils and water in formulas,"Dry, Sensitive"
Tocopherol,"Antioxidant, Skin conditioning",Protects skin from damage and nourishes,All skin types
Lactobionic Acid,"Exfoliant, Moisturizing",Gently exfoliates and moisturizes skin,All skin types
Vitamin C (Ascorbyl Glucoside),"Antioxidant, Skin brightening",Brightens skin and provides antioxidant protection,All skin types
Xanthan Gum,"Thickener, Stabilizer",Thickens and stabilizes formulations,All skin types
Hexylene Glycol,"Solvent, Humectant",Moisturizes and helps dissolve other ingredients,All skin types
Ascorbyl Tetraisopalmitate,"Antioxidant, Skin brightening",A stable form of Vitamin C for skin brightening and antioxidant protection,All skin types
Carthamus Tinctorius (Safflower) Flower Extract,"Plant Extract, Moisturizing",Hydrates and nourishes the skin,"Dry, Sensitive"
Sucrose,"Humectant, Moisturizer","Draws moisture into the skin, keeping it hydrated",All skin types
Tromethamine,pH adjuster,Helps adjust and stabilize the pH of the formulation,All skin types
Propanediol,"Humectant, Solvent",Improves moisture retention and helps dissolve ingredients,All skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Emulsifying Agent, Thickener",Helps to thicken and stabilize emulsions,All skin types
C12-14 Pareth-12,"Surfactant, Emulsifier",Cleanses and helps ingredients mix together,All skin types
Actinidia Chinensis (Kiwi) Fruit Extract,"Plant Extract, Antioxidant","Rich in Vitamin C, helps protect and brighten skin",All skin types
Hylocereus Undatus Fruit Extract,"Plant Extract, Hydrating",Provides hydration and soothes the skin,"Dry, Sensitive"
Salix Alba (Willow) Bark Water,"Exfoliant, Soothing",Gently exfoliates and calms irritated skin,"Oily, Acne-prone"
Pyrus Malus (Apple) Fruit Water,"Plant Extract, Hydrating",Hydrates and provides antioxidant protection,All skin types
Ethyl Hexanediol,"Solvent, Humectant",Helps dissolve ingredients and provides moisture,All skin types
Sodium Lactate,"Humectant, Moisturizer",Draws moisture into the skin and maintains hydration,All skin types
Betaine Salicylate,"Exfoliant, Acne treatment",Provides gentle exfoliation and helps treat acne,"Oily, Acne-prone"
Adenosine,"Anti-inflammatory, Soothing","Soothes and reduces inflammation, promoting healing",All skin types
Hippophae Rhamnoides Water,"Plant Extract, Nourishing",Rich in vitamins and nutrients to nourish skin,All skin types
Hydroxyethylcellulose,Thickening Agent,Used to thicken formulations,All skin types
Polyglyceryl-10 Myristate,Emulsifier,Helps in mixing oils and water-based ingredients,All skin types
Polyglyceryl-10 Laurate,Emulsifier,Helps in emulsifying and stabilizing formulations,All skin types
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"Essential Oil, Fragrance, Antioxidant",Provides fragrance and antioxidant protection,All skin types
Alpha-Arbutin,Skin Brightening Agent,Brightens skin and helps even skin tone,All skin types
Menthyl Lactate,Cooling Agent,Provides a cooling effect on the skin,All skin types
Mentha Haplocalix Extract,"Plant Extract, Cooling, Soothing",Calms and cools the skin,All skin types
Petrolatum,"Emollient, Skin Protectant",Creates a barrier to lock moisture in the skin,"Dry, Sensitive"
Hydrogenated Polyisobutene,"Emollient, Moisturizing Agent",Moisturizes and improves skin texture,"Dry, Sensitive"
Polyisobutene,"Emollient, Binder",Helps with formulation stability,All skin types
Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,"Emollient, Skin Conditioning",Softens and smooths skin,"Dry, Sensitive"
Butyrospermum Parkii (Shea) Butter,"Plant Extract, Moisturizing, Nourishing",Nourishes and softens skin,"Dry, Sensitive"
Diisostearyl Malate,"Emollient, Skin Conditioning",Helps with smooth texture and improves skin hydration,"Dry, Sensitive"
Ethylene/Propylene/Styrene Copolymer,Film-forming Agent,Forms a protective layer on the skin,All skin types
Sorbitan Sesquioleate,"Emulsifier, Surfactant",Helps ingredients mix and remain stable,All skin types
Microcrystalline Wax,"Emollient, Thickener",Adds thickness to formulations and provides moisture,"Dry, Sensitive"
Vanillyl Butyl Ether,"Skin Conditioning Agent, Sensory Enhancer",Provides a cooling effect and improves sensory feel,All skin types
Butylene/Ethylene/Styrene Copolymer,Film-forming Agent,Provides a long-lasting protective layer on the skin,All skin types
Melia Azadirachta Leaf Extract,"Plant Extract, Antioxidant, Anti-inflammatory",Soothes and protects the skin,All skin types
Melia Azadirachta Flower Extract,"Plant Extract, Antioxidant, Soothing",Calms and protects the skin,All skin types
Coccinia Indica Fruit Extract,"Plant Extract, Antioxidant, Hydrating",Provides hydration and protection,"Dry, Sensitive"
Amber Powder,"Exfoliant, Skin Conditioning",Exfoliates and conditions the skin,All skin types
Mentha Piperita (Peppermint) Leaf Extract,"Plant Extract, Cooling, Soothing",Cools and refreshes skin,"Oily, Acne-prone"
Solanum Melongena (Eggplant) Fruit Extract,"Plant Extract, Antioxidant",Antioxidant-rich to protect against skin aging,All skin types
Ocimum Sanctum Leaf Extract,"Plant Extract, Anti-inflammatory, Antioxidant",Soothes and protects skin from irritation,"Sensitive, Oily"
Curcuma Longa (Turmeric) Root Extract,"Plant Extract, Anti-inflammatory, Antioxidant",Calms skin and fights signs of aging,All skin types
Corallina Officinalis Extract,"Marine Extract, Moisturizing",Provides deep hydration and replenishment,"Dry, Sensitive"
Moringa Oleifera Seed Oil,"Plant Oil, Antioxidant, Moisturizing",Hydrates and nourishes skin with antioxidants,"Dry, Mature"
Magnesium Ascorbyl Phosphate,"Vitamin C Derivative, Skin Brightening, Antioxidant",Brightens and protects skin from free radicals,All skin types
Citric Acid,"pH Adjuster, Exfoliant",Balances pH and gently exfoliates skin,"Oily, Acne-prone"
Anemarrhena Asphodeloides Root Extract,"Plant Extract, Soothing, Anti-inflammatory",Soothes irritation and calms inflammation,"Sensitive, Irritated"
Panthenol,"Vitamin B5, Moisturizing, Skin Healing",Moisturizes and promotes skin healing,All skin types
Lactobionic Acid,"Polyhydroxy Acid (PHA), Exfoliating, Moisturizing",Exfoliates and moisturizes without irritation,"Sensitive, Dry"
Passiflora Edulis Fruit Extract,"Plant Extract, Soothing, Antioxidant",Soothes and provides antioxidant protection,"Sensitive, Dry"
Saccharum Officinarum (Sugar Cane) Extract,"Plant Extract, Exfoliating, Moisturizing",Exfoliates and moisturizes skin,"Dry, Oily"
Citrus Limon (Lemon) Fruit Extract,"Plant Extract, Brightening, Astringent",Brightens skin and tightens pores,"Oily, Acne-prone"
Ananas Sativus (Pineapple) Fruit Extract,"Plant Extract, Exfoliating, Antioxidant",Exfoliates and protects skin from free radicals,"Oily, Combination"
Vitis Vinifera (Grape) Fruit Extract,"Plant Extract, Antioxidant, Moisturizing",Provides moisture and fights signs of aging,All skin types
Camellia Japonica Seed Oil,"Plant Oil, Moisturizing, Antioxidant",Nourishes and protects the skin with antioxidants,"Dry, Mature"
Calcium Pantothenate,"Vitamin B5, Moisturizing, Skin Repairing",Soothes and helps skin recover,All skin types
Pyridoxine HCl,"Vitamin B6, Anti-inflammatory, Skin Conditioning",Reduces inflammation and conditions skin,"Sensitive, Irritated"
Maltodextrin,"Sugar Polymer, Skin Conditioning, Moisturizing",Conditions and hydrates skin,All skin types
Sodium Starch Octenylsuccinate,"Modified Starch, Emulsifier",Helps mix oil and water in formulations,All skin types
Silica,"Absorbent, Texture Enhancer",Enhances texture and absorbs excess oils,"Oily, Combination"
PPG-26-Buteth-26,"Surfactant, Emulsifier",Assists in emulsifying and solubilizing ingredients,All skin types
PEG-40 Hydrogenated Castor Oil,"Surfactant, Emulsifier",Helps blend oil and water-based ingredients,All skin types
Poloxamer 184,"Surfactant, Solubilizer",Helps dissolve ingredients and improve texture,All skin types
Sodium Benzoate,Preservative,Preserves product shelf life,All skin types
Carica Papaya Fruit Extract,"Plant Extract, Exfoliating, Brightening",Exfoliates and brightens skin,All skin types
Psidium Guajava Seed Oil,"Plant Oil, Antioxidant, Moisturizing",Provides moisture and antioxidant protection,"Dry, Sensitive"
Caprylyl/Capryl Glucoside,"Surfactant, Cleansing, Skin Conditioning",Cleanses and conditions the skin,All skin types
Sodium Cocoyl Glutamate,"Surfactant, Mild Cleanser, Skin Conditioning","Mild surfactant, cleanses while conditioning skin","Sensitive, Dry"
Glyceryl Caprylate,"Emulsifier, Skin Conditioning",Helps emulsify ingredients and condition the skin,All skin types
Polyglyceryl-6 Oleate,"Emulsifier, Skin Conditioning",Assists in emulsification and provides skin conditioning,All skin types
Sodium Surfactin,"Surfactant, Foam Booster",Boosts foam and enhances cleansing,All skin types
Xanthan Gum,"Thickening Agent, Stabilizer",Provides texture and stabilizes formulations,All skin types
Benzyl Alcohol,"Preservative, Fragrance",Preserves products and adds fragrance,All skin types
Potassium Sorbate,"Preservative, Antifungal",Prevents fungal growth and preserves product,All skin types
Parfum (Fragrance),Fragrance,Adds scent to the product,All skin types
Isohexadecane,"Emollient, Solvent, Skin Conditioning",Softens and smooths the skin,All skin types
Dimethicone,"Silicone, Emollient, Skin Protectant",Forms a barrier to protect skin,"Dry, Sensitive"
Isopropyl Isostearate,"Emollient, Skin Conditioning",Provides smoothness and softens skin,All skin types
Sodium Polyacryloyldimethyl Taurate,"Thickening Agent, Stabilizer","Stabilizes formulation, enhances texture",All skin types
Stearyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Moisturizes and emulsifies the product,"Dry, Sensitive"
Panthenol,"Pro-Vitamin B5, Moisturizing, Skin Conditioning",Hydrates and soothes skin,"Dry, Sensitive"
3-O-Ethyl Ascorbic Acid,"Vitamin C Derivative, Brightening, Antioxidant",Evens skin tone and protects from oxidative stress,All skin types
Palmitoyl Pentapeptide-4,"Peptide, Anti-Aging, Skin Firming","Stimulates collagen production, firms the skin","Aging, Mature skin"
Trehalose,"Humectant, Moisturizing, Antioxidant","Draws moisture to the skin, protects against dryness",All skin types
Dimethiconol,"Silicone, Hair and Skin Conditioning",Provides smoothness and shine to hair and skin,"Dry, Damaged skin"
Cetearyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier","Adds smoothness, helps mix oil and water-based ingredients",All skin types
Cetearyl Glucoside,"Emulsifier, Skin Conditioning","Helps blend oils and water, leaves skin soft",All skin types
Stearic Acid,"Fatty Acid, Emulsifier, Cleansing",Helps emulsify and cleanses skin,"Oily, Sensitive"
Palmitic Acid,"Fatty Acid, Skin Conditioning",Softens and nourishes skin,"Dry, Sensitive"
Cetyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Helps stabilize formulations and soften the skin,"Dry, Sensitive"
Behenyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Adds smoothness and improves formulation texture,"Dry, Sensitive"
Arachidyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Provides softness and texture to formulations,"Dry, Sensitive"
Sodium Lactate,"Humectant, Skin Conditioning",Moisturizes and prevents dehydration,"Dry, Sensitive"
PEG-100 Stearate,"Emulsifier, Skin Conditioning",Helps emulsify ingredients and conditions the skin,All skin types
Sodium Lauroyl Sarcosinate,"Surfactant, Cleansing, Foaming",Cleanses skin gently without stripping moisture,All skin types
Cocamidopropyl Betaine,"Surfactant, Cleansing, Foam Booster",Enhances foam and cleanses while being mild,All skin types
Decyl Glucoside,"Surfactant, Cleansing, Mild, Non-Irritating",Gentle cleanser for sensitive skin,Sensitive skin
Carica Papaya (Papaya) Fruit Extract,"Exfoliating, Skin Conditioning",Gently exfoliates and nourishes the skin,All skin types
Papain,"Exfoliant, Enzyme, Skin Renewal",Exfoliates and promotes cell turnover,All skin types
Malic Acid,"Exfoliant, AHA, Skin Smoothing",AHA exfoliant that smooths and brightens the skin,All skin types
Gluconic Acid,"Exfoliant, Skin Conditioning",Gently exfoliates and improves skin texture,"Sensitive, Dry skin"
Ascorbic Acid,"Vitamin C, Antioxidant, Skin Brightening",Brightens skin and reduces signs of aging,All skin types
Salicylic Acid,"BHA, Exfoliant, Acne Treatment","Deep exfoliant, helps with acne treatment and clogged pores","Oily, Acne-Prone"
Tartaric Acid,"AHA, Exfoliant, Skin Smoothing","AHA exfoliant, improves skin texture and radiance",All skin types
CI 15985 (Yellow 6),Colorant,Adds yellow color to the formulation,All skin types
CI 14720 (Red 4),Colorant,Adds red color to the formulation,All skin types
Gluconolactone,"Exfoliant, Humectant, Skin Conditioning","Exfoliates and hydrates, improves skin texture","Sensitive, Dry skin"
